Module (week),Activity set,Activity,Type of activities,Exercice type,Pronunciation aspect,Problems (number) ; steps,Link to content,
Addressing the court 📣 1,Authority 🔨,A rulling trio,TUTORIAL 3,Tutorial,ED,,,
Addressing the court 📣 1,Authority 🔨,Pleaded innocent,Listening ,Match Word to Audio,ED,8,https://docs.google.com/spreadsheets/d/1hnTHf_nkXZJBsOYCcWz4LdU0EVCM4VFoTrfWHzv03oQ/edit?usp=sharing,
Addressing the court 📣 1,Authority 🔨,Talk to my hand,Speaking ,Spoken Sentence,ED,,https://docs.google.com/spreadsheets/d/1nmYR8PA3tkzbkEwcrfvicRhIEJ5N68H3YcGoXnuHr98/edit?usp=sharing,
Addressing the court 📣 1,Authority 🔨,Steps in the court ,Speaking ,Spoken Sentence,ED,8,https://docs.google.com/spreadsheets/d/1NR1Nxh2k8FJdp2-RGm_gn55Nw4Mc-VMEeTIP6qGKyRM/edit?usp=sharing,Note: do not include (wrong linguistic domain) // ask actors to whisper for part of the recordings
Addressing the court 📣 2,Scales of justice ⚖️,Witty witness,Speaking ,Spoken Sentence,WS/ED,,https://docs.google.com/spreadsheets/d/1divCpWSfzCjLxjbhV8EOGgmRvY4x1-4q7FzUzEhmp5Q/edit?usp=sharing,Note: different actors because it is not one single conversation
Addressing the court 📣 2,Scales of justice ⚖️,MessED up,Listening ,Pick Phonetics,ED,8,https://docs.google.com/spreadsheets/d/16Jq1HhmjKG_Ybp3CmeGJ_8De5-fzjnXfpdgOCihH1mI/edit?usp=sharing,
Addressing the court 📣 2,Scales of justice ⚖️,Quizz ....ed ,TUTORIAL 4,Tutorial,ED,,,
Addressing the court 📣 2,Scales of justice ⚖️,Can you keep a secret? ,Speaking ,Spoken Card,ED,8,https://docs.google.com/spreadsheets/d/1QxrSn0t1Oky1BuIwVOe9pbsndDVNG1qlaXzPfph-7AA/edit?usp=sharing,
Addressing the court 📣 2,Scales of justice ⚖️,Odd one out,Listening ,Pick Audio Unlike Others,ED,8,https://docs.google.com/spreadsheets/d/1mSsAXqOMyFZ5qVcrT2cFK97xwgPxkxbnsAkF934K53s/edit?usp=sharing,
Addressing the court 📣 2,Sentencing 😈,SentencED,Speaking ,Spoken Card,ED,8,https://docs.google.com/spreadsheets/d/1uvGEiH0bVlwCpePJMxEWOltVpgE7nY8hGTa3r_BYJdE/edit?usp=sharing,
Addressing the court 📣 2,Sentencing 😈,Consequences,Speaking ,Spoken Card,WS/ED,8,https://docs.google.com/spreadsheets/d/1nh6-bGYCUNHmbRwg4v1SieLQN2EeAVwAdpVbxZlfxuQ/edit?usp=sharing,
Addressing the court 📣 2,Sentencing 😈,Paid or Played?,Listening ,Match Word to Audio,ED,8,https://docs.google.com/spreadsheets/d/1xyyYI0_JuimLGnhLkQd0b3uP2DVu84tJiHMIOPRwCwM/edit?usp=sharing,
Addressing the court 📣 2,Sentencing 😈,Under arrest,Speaking ,Spoken Card,WS/ED,8,https://docs.google.com/spreadsheets/d/1ahKgrxZr2DET-OJMP2Q4jHrr4zPj7h3RDJdU7RGZZa8/edit?usp=sharing,
Addressing the court 📣 2,REVISION 🤓,Bagged/got the goods,Listening ,Match Word to Audio,ED,8,https://docs.google.com/spreadsheets/d/18iNxg6TRpGwCLtGTI2OB5HGOrZ0_tgboo4-Qe9PZKvY/edit?usp=sharing,
Addressing the court 📣 2,REVISION 🤓,Please be seated,Speaking ,Spoken Sentence,WS/ED,,https://docs.google.com/spreadsheets/d/1BDn8-BmRgEPf70-CiSqPZchF9I7i6iXB5eNCK-JmHsE/edit?usp=sharing,
Addressing the court 📣 2,REVISION 🤓,Be your own judge,Listening ,Pick Audio Unlike Others,ED,8,https://docs.google.com/spreadsheets/d/1859C89_DmL6vIxkAkx3giY778jOHn18YMqmsbM5CTqs/edit?usp=sharing,
Addressing the court 📣 2,REVISION 🤓,Presumed innocent,Speaking ,Spoken Card,WS/ED,12,https://docs.google.com/spreadsheets/d/1YZ-OJulFxTLU5IO5x-smebVo_P99EKnjegjl40oyKO4/edit?usp=sharing,
Business law,,,TUTORIAL 1,,,,,
Business law,,,,,,,,
Business law,,,,,,,,
Business law,,,,,,,,
Business law,,,,,,,,
Business law,,,,,,,,
Business law,,,,,,,,
Business law,,,,,,,,
Business law,,,,,,,,
Business law,,,,,,,,
Business law,,,,,,,,
Business law,,,,,,,,
Business law,,,,,,,,
Business law,,,,,,,,
Business law,,,,,,,,
Business law,,,,,,,,
Business law,,,,,,,,
Business law,,,,,,,,
Business law,,,,,,,,
Business law,REVISION 🤓,,,,,,,
Business law,REVISION 🤓,,,,,,,
Business law,REVISION 🤓,,,,,,,
Business law,REVISION 🤓,,,,,,,
Persuasive speaking 🧩 1,Welcome to the jungle 🦁,What are focus words? ,TUTORIAL 1,Tutorial,FW,,https://xd.adobe.com/view/d14e5c28-f389-478e-9d4d-0517fab78312-841d/,
Persuasive speaking 🧩 1,Welcome to the jungle 🦁,Find the focus,Listening ,Pick Stressed Word ,FW,,https://docs.google.com/spreadsheets/d/1sysQxZX_fVjz92rSTz2nEi8T63K9I5ROWvZCA8Bu-us/edit?usp=sharing,
Persuasive speaking 🧩 1,Welcome to the jungle 🦁,Innocent 'till proven guilty,Speaking ,Spoken Card,FW,,https://docs.google.com/spreadsheets/d/1LzdJq827QrioIl8PJ9Ux71JCwERWxhrseynVnXSjwbo/edit?usp=sharing,
Persuasive speaking 🧩 1,Welcome to the jungle 🦁,Four in one,TUTORIAL 2,Tutorial,FW,,https://xd.adobe.com/view/efe57460-eaf4-4f83-9af4-94fc2a734e9c-bab6/,
Persuasive speaking 🧩 1,Welcome to the jungle 🦁,Dealing with this ,Listening ,Pick Meaning of Audio ,FW,,https://docs.google.com/spreadsheets/d/1d7HXRbWQ6H9xha8KQ1r79FeFTYUoEHlzVJsqzRIIEJU/edit?usp=sharing,do not include
Persuasive speaking 🧩 1,Welcome to the jungle 🦁,Greedy Lindsey,Speaking ,Spoken Card,FW,,https://docs.google.com/spreadsheets/d/1Tl909o0_pDRvrM6dl2dw8Zb_G_ElDgP80Sx2v8U-5wM/edit?usp=sharing,
Persuasive speaking 🧩 1,"The truth, the whole truth, and nothing but the truth 📖","Content words, you said? ",TUTORIAL 3,Tutorial,FW,,https://xd.adobe.com/view/4573dc94-ee88-43b6-b5e1-c4f296c92ad5-1020/,
Persuasive speaking 🧩 1,"The truth, the whole truth, and nothing but the truth 📖",Taking the stand,Speaking ,Spoken Sentence,FW,,https://docs.google.com/spreadsheets/d/11o5k-wW5zndsGguLpefEJwj4dMdV7sUjblcYF-Qq4ck/edit?usp=sharing,too triggering for students having experienced abuse?
Persuasive speaking 🧩 1,"The truth, the whole truth, and nothing but the truth 📖",Intricacies,Listening ,Match Audio to Meaning,FW,,https://docs.google.com/spreadsheets/d/1bpnxubc--Gue3dFATqELCZKE3cyRIhe3tnK93Kdc_38/edit?usp=sharing,
Persuasive speaking 🧩 1,"The truth, the whole truth, and nothing but the truth 📖",Court in session!,Speaking ,Spoken Sentence,FW,,https://docs.google.com/spreadsheets/d/1xdbOtcMTVcLIbGxZ3qkXYZDJKBRfjFTpNYREfObAxZ8/edit?usp=sharing,
Persuasive speaking 🧩 1,"The truth, the whole truth, and nothing but the truth 📖",Stressed you said? ,Listening ,Pick Stressed Word,FW,,https://docs.google.com/spreadsheets/d/1XvTe7ioWCPfezb6sMEPMNYqWW2T-Hpz9cADtVLPzi1I/edit?usp=sharing,
Persuasive speaking 🧩 1,"The truth, the whole truth, and nothing but the truth 📖",Tell me why,Speaking ,Spoken Sentence,FW,,https://docs.google.com/spreadsheets/d/1bIQEE2lfyXLGOCxQ6aNUBGeQSYW-qkxtXmMZmQ8DH7o/edit?usp=sharing,
Persuasive speaking 🧩 2,Case closed 📕,Focus on the right words,TUTORIAL 4,Tutorial,FW,,https://xd.adobe.com/view/5094855b-8027-4e23-bde2-f827413ac56c-05c7/,
Persuasive speaking 🧩 2,Case closed 📕,Last dance,Listening ,Pick Meaning of Audio ,FW,,https://docs.google.com/spreadsheets/d/1_jSLZVYnVEqjItmNOGEfCTL7UOHPCreQ6I5bIGbd2Lc/edit?usp=sharing,
Persuasive speaking 🧩 2,Case closed 📕,It's your call,Speaking ,Spoken Sentence,FW,,https://docs.google.com/spreadsheets/d/1mqw8Qga2peH-zhZB7ARY7in9YM0aocWz3W92hwf1vfk/edit?usp=sharing,
Persuasive speaking 🧩 2,Case closed 📕,Listen carefully,Listening ,Match Audio to Meaning,FW,,https://docs.google.com/spreadsheets/d/1o5WyWGXOr-RTDTmwogpltAosDQvGPcp4lJuCMjK-tK4/edit?usp=sharing,
Persuasive speaking 🧩 2,Case closed 📕,Closing statements,Speaking ,Spoken Card,FW,,https://docs.google.com/spreadsheets/d/1uvTn5FuWytqmk8Cme7A88w_nd6vS0ArMoC1JLB9q5Zk/edit?usp=sharing,
Persuasive speaking 🧩 2,Fake it till' you make it 🎲,Keep this in mind (NEW TUTORIAL),TUTORIAL 5,Tutorial,FW,,Drawn,
Persuasive speaking 🧩 2,Fake it till' you make it 🎲,Welcome back,Speaking ,Spoken Sentence,FW,,https://docs.google.com/spreadsheets/d/1dkGLr2IGqL0ltwsc99rF-RDRc0Qle583HcLvLIEu7lU/edit?usp=sharing,
Persuasive speaking 🧩 2,Fake it till' you make it 🎲,In the heat of it ,Speaking ,Spoken Sentence,FW,,https://docs.google.com/spreadsheets/d/1jRMmL1W1WNxvP1pfkj0YeG4fiPNZKOvVD6fm4hVZ2Sg/edit?usp=sharing,
Persuasive speaking 🧩 2,Fake it till' you make it 🎲,Closing the chapter/ Chapter closed,Speaking ,Spoken Card,FW,,https://docs.google.com/spreadsheets/d/1_fZnALm3sG1ruwu9M9k5PI_xkCWe3UkYa8Iy8SosanM/edit?usp=sharing,
Persuasive speaking 🧩 2,Fake it till' you make it 🎲,Objection your Honor!,Speaking ,Spoken Card,FW,,https://docs.google.com/spreadsheets/d/1-pQxTrNHsNi0dOJoRDyG3vgbgR32PAqlS2XwEUYHn2U/edit?usp=sharing,
Persuasive speaking 🧩 2,REVISION 🤓,Swear,Listening ,Pick Stressed Word,FW,,https://docs.google.com/spreadsheets/d/1cefno-snzgp-hEokw05-aVOlpBS11-oiK70Upvdar6s/edit?usp=sharing,
Persuasive speaking 🧩 2,REVISION 🤓,Ultimate trial,Speaking ,Spoken Sentence,FW,,https://docs.google.com/spreadsheets/d/1FXVTwH_ZzsHqXmUaaWssbXnlSW018HDhL5cIUX_rxHc/edit?usp=sharing,
Persuasive speaking 🧩 2,REVISION 🤓,No stress no mess,Listening ,Match Word to Stress Pattern,FW,,https://docs.google.com/spreadsheets/d/1XlCGG5Q5X2klYCWO7zIwvVjZK_yCEVkHKysEAqT6I20/edit?usp=sharing,
Persuasive speaking 🧩 2,REVISION 🤓,Finish line,Speaking ,Spoken Card,FW,,https://docs.google.com/spreadsheets/d/1WCfDmayYq0NgxDDP0UBleIqoHmf0RLoYGJjHRNoL8Tw/edit?usp=sharing,
